step,task_id,stress,action,latency,outcome,base_utilities,modulated_utilities
0,1,0.0917646924009578,MONITOR,2.002716064453125e-05,0.9816470615198084,"{'MONITOR': 0.96, 'ESCALATE': 0.56, 'REDISTRIBUTE': 0.6667814600163662, 'ASSIST': 0.766609269991817}","{'MONITOR': 0.5015448229817321, 'ESCALATE': 0.3307724114908661, 'REDISTRIBUTE': -0.4793564825293035, 'ASSIST': -1.0672114380812545}"
1,2,0.11640797331480998,MONITOR,2.4080276489257812e-05,0.976718405337038,"{'MONITOR': 0.96, 'ESCALATE': 0.56, 'REDISTRIBUTE': 0.7719705687464962, 'ASSIST': 0.714014715626752}","{'MONITOR': 0.5546211168768491, 'ESCALATE': 0.35731055843842463, 'REDISTRIBUTE': -0.24147663906138095, 'ASSIST': -0.9075008168658514}"
2,3,0.13930638228970865,MONITOR,2.288818359375e-05,0.9721387235420582,"{'MONITOR': 0.96, 'ESCALATE': 0.56, 'REDISTRIBUTE': 0.717759901781346, 'ASSIST': 0.741120049109327}","{'MONITOR': 0.5957874200415372, 'ESCALATE': 0.37789371002076866, 'REDISTRIBUTE': -0.1927715481148109, 'ASSIST': -0.7157302707245241}"
3,4,0.17037625379842822,MONITOR,2.5033950805664062e-05,0.9659247492403144,"{'MONITOR': 0.9199999999999999, 'ESCALATE': 0.62, 'REDISTRIBUTE': 0.6566991896292969, 'ASSIST': 0.7716504051853517}","{'MONITOR': 0.6034073937719331, 'ESCALATE': 0.4617036968859666, 'REDISTRIBUTE': -0.13478232594087003, 'ASSIST': -0.4947200197269155}"
4,5,0.19713525588030012,MONITOR,2.7894973754882812e-05,0.96057294882394,"{'MONITOR': 0.9199999999999999, 'ESCALATE': 0.62, 'REDISTRIBUTE': 0.7283696316391225, 'ASSIST': 0.7358151841804388}","{'MONITOR': 0.6391407619342648, 'ESCALATE': 0.47957038096713245, 'REDISTRIBUTE': 0.026221536474784646, 'ASSIST': -0.3876217680825018}"
5,6,0.1884302480945938,MONITOR,3.0040740966796875e-05,0.9623139503810813,"{'MONITOR': 0.96, 'ESCALATE': 0.56, 'REDISTRIBUTE': 0.709470880746647, 'ASSIST': 0.7452645596266766}","{'MONITOR': 0.6679515128449036, 'ESCALATE': 0.4139757564224519, 'REDISTRIBUTE': -0.020650337141093655, 'ASSIST': -0.4229293889937086}"
6,7,0.18709299030145357,MONITOR,3.409385681152344e-05,0.9625814019397093,"{'MONITOR': 0.96, 'ESCALATE': 0.56, 'REDISTRIBUTE': 0.6564526911140863, 'ASSIST': 0.7717736544429569}","{'MONITOR': 0.666197808760514, 'ESCALATE': 0.4130989043802571, 'REDISTRIBUTE': -0.07805278698462836, 'ASSIST': -0.4034351105149866}"
7,8,0.1928058384189479,MONITOR,3.719329833984375e-05,0.9614388323162104,"{'MONITOR': 0.88, 'ESCALATE': 0.6799999999999999, 'REDISTRIBUTE': 0.6685038408869877, 'ASSIST': 0.7657480795565063}","{'MONITOR': 0.5936238855775997, 'ESCALATE': 0.5368119427887997, 'REDISTRIBUTE': -0.04743644516901324, 'ASSIST': -0.37975637813309515}"
8,9,0.2440238817147927,MONITOR,4.00543212890625e-05,0.9511952236570415,"{'MONITOR': 0.9199999999999999, 'ESCALATE': 0.62, 'REDISTRIBUTE': 0.7565997994669572, 'ASSIST': 0.7217001002665214}","{'MONITOR': 0.6938512620546455, 'ESCALATE': 0.5069256310273228, 'REDISTRIBUTE': 0.19122795460357123, 'ASSIST': -0.18289485151489615}"
9,10,0.26074402372963557,MONITOR,4.1961669921875e-05,0.9478511952540729,"{'MONITOR': 0.96, 'ESCALATE': 0.56, 'REDISTRIBUTE': 0.6597513370612389, 'ASSIST': 0.7701243314693806}","{'MONITOR': 0.7515789862285229, 'ESCALATE': 0.45578949311426153, 'REDISTRIBUTE': 0.13869880263254641, 'ASSIST': -0.0635597236165274}"
